word,count,length,per_million,romanji
女性,3845357,2,5060.5682597146,josei
自分,3800574,2,5001.6329181131,jibun
とは,3797863,2,4998.0651868070,toha
目,3786448,1,4983.0428139338,me
カテゴリー,3762810,5,4951.9347237036,kategorī
確認,3731934,2,4911.3012778137,kakunin
好き,3728725,2,4907.0781683481,suki
一,3725408,1,4902.7129286792,ichi
写真,3703606,2,4874.0210519046,shashin
時間,3695939,2,4863.9311234929,jikan
気,3675274,1,4836.7355619139,ki
今,3657472,1,4813.3077667418,ima
サイト,3611675,3,4753.0379804540,saito
ように,3607792,3,4747.9278732384,youni
最近,3595986,2,4732.3909363885,saikin
じゃ,3578049,2,4708.7854784624,ja
かな,3546507,2,4667.2755629856,kana
東京,3496475,2,4601.4324303012,toukyou
のです,3469730,3,4566.2354646863,nodesu
大,3406349,1,4482.8247756738,dai
話,3376479,1,4443.5152463069,hanashi
日本,3318431,2,4367.1228940910,nippon
自動,3264832,2,4296.5855166375,jidou
数字,3229339,2,4249.8760045579,suuji
事,3214658,1,4230.5555090562,koto
生活,3198517,2,4209.3136237696,seikatsu
でしょう,3185742,4,4192.5014631515,deshou
入力,3183103,2,4189.0284853142,nyuuryoku
下記,3175855,2,4179.4899694504,kaki
ボタン,3167705,3,4168.7644031853,botan
押して,3145132,3,4139.0578746818,oshite
プログラム,3130654,5,4120.0045313214,puroguramu
わ,3128797,1,4117.5606814375,wa
のに,3124855,2,4112.3729290182,noni
んです,3122919,3,4109.8251135226,ndesu
本,3094279,1,4072.1342892484,hon
桁,3055620,1,4021.2582565804,keta
思う,3043140,2,4004.8343219805,omou
後,3026114,1,3982.4277586393,go
的,3018532,1,3972.4496919617,teki
もう,3017528,2,3971.1284074795,mou
今日は,3017038,3,3970.4835574832,kyouha
毎日,3008106,2,3958.7288632647,mainichi
なら,2969350,2,3907.7251766178,nara
仕事,2939400,2,3868.3103656189,shigoto
家,2924901,1,3849.2293858301,ie
カテゴリ,2907585,4,3826.4411765728,kategori
だと,2904720,2,3822.6707781250,dato
なり,2896040,2,3811.2477210475,nari
