rank	year	title
977	1868	O Little Town of Bethlehem
978	1945	Red Cross
979	1923	Nobody Knows You When You're Down and Out
980	1939	Wham
981	1949	Rudolph the Red-Nosed Reindeer
982	1927	Back Water Blues
983	1926	Maybe
984	1946	I Wish You Love
985	1939	Riverboat Shuffle
986	1921	All By Myself
987	1938	They Say
988	1920	Charleston
989	1850	It Came Upon a Midnight Clear
990	1935	Let's Dance
991	1972	Superstition
992	1935	Lullaby of Broadway
993	1962	What Kind of Fool Am I?
994	1942	Harvard Blues
995	1934	Dream of You
996	1963	Wives and Lovers (Hey Little Girl)
997	1958	This Is All I Ask
998	1938	Doggin' Around
999	1935	I Won't Dance
1000	1946	To Each His Own
